index,date,src,dst,src.loc.lat,src.loc.lon,latitude,longitude
4073,2011-01-25 00:12:17,61,51,31.3224384424648,31.9813803262347,47.5214690864825,-91.219787541029
4972,2011-01-25 00:34:43,8,13,28.0943104601976,26.5606429005463,43.2082192168521,-91.9820913070397
2108,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,47.594855504483,-84.7236817822112
2308,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,40.5583533319627,-85.8324461894782
2508,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,47.398166923629,-83.5355724121501
2708,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,37.8229794477397,-84.6320361394038
2908,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,47.8264785745731,-88.6843812075526
3108,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,39.8352297116775,-78.7179711080712
3308,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,41.2479982004153,-80.9215290805947
3508,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,40.2714029696458,-79.8366938292623
3708,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,45.7258945337368,-80.2911132996932
3908,2011-01-25 00:56:49,80,93,31.1569494307927,27.7237441985796,45.2968938837464,-77.4368124264543
4910,2011-01-25 01:00:49,15,90,26.2526215975558,32.3838018621939,47.5123765705649,-92.0601367498705
4671,2011-01-25 01:10:47,19,74,26.9715943580793,27.7860931325298,41.9600228335366,-80.6650010023299
4978,2011-01-25 01:18:15,97,71,22.875868607694,29.5304271510545,38.0243894673723,-89.6609690092818
4705,2011-01-25 01:31:49,30,75,22.7536965252023,27.0669460664667,40.1184716749362,-80.5693013262219
4067,2011-01-25 01:37:39,84,58,25.5380392403882,36.3642284392813,44.9694466046616,-79.93887126715
2172,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,36.571858903775,-91.2210484027191
2372,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,46.8162949161442,-85.7225598073007
2572,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,46.7579021159845,-78.2917503033738
2772,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,47.1124807998216,-85.7665813045797
2972,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,46.0649941135296,-83.303326869104
3172,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,42.035205238275,-84.866617843946
3372,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,40.7469344143458,-78.1204699037956
3572,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,45.7142811658669,-84.3682624076201
3772,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,41.8862129346237,-92.104959537927
3972,2011-01-25 01:45:59,11,54,28.4449108591918,25.123216333877,40.7378960012654,-83.2000078549106
4323,2011-01-25 02:02:50,64,5,25.8824056523259,32.5689999578171,45.6581465257932,-92.5338330470289
4065,2011-01-25 02:12:44,57,9,24.8481764480347,31.3693125144135,38.9359764099173,-86.2376458582093
4444,2011-01-25 02:45:03,1,25,25.8176777234607,31.9170036349091,46.5804446250123,-90.8138271993293
4192,2011-01-25 02:49:53,67,69,24.5682217644353,35.627227492962,41.1788084507948,-88.347667344526
4955,2011-01-25 03:55:36,13,69,29.2183185897303,26.0685295011927,40.9212618339675,-86.2397549236305
4305,2011-01-25 05:09:29,48,94,27.1055788855218,26.1946801959923,41.2787244603882,-88.4192886755669
4646,2011-01-25 05:46:04,32,33,24.5224841097414,32.9789900424858,37.3441243801298,-83.7422365374973
4867,2011-01-25 05:50:45,88,43,30.3103627722264,30.590988598079,46.4852493730579,-91.6241091240133
4688,2011-01-25 05:55:13,17,21,30.6890748173317,31.2892370908451,40.7388161440042,-80.6731733641626
4032,2011-01-25 05:57:53,80,56,30.5918947824697,32.7884554888623,41.8311768959012,-86.6520532806944
4491,2011-01-25 06:33:42,63,85,25.3669514537651,31.2372915988163,42.6170909579349,-77.1045799675052
4114,2011-01-25 07:42:02,100,42,26.8848937800355,24.97671282363,42.3161324390434,-88.1298308478563
4875,2011-01-25 07:47:41,100,14,25.0696841578154,30.0865523808616,48.055677009093,-77.3323536542306
4616,2011-01-25 08:41:24,98,36,28.7781784999647,34.587569466667,43.9076131089781,-86.9810795840882
4408,2011-01-25 09:11:38,35,15,27.7561491319382,36.1691061273694,38.703257731176,-80.8746310318263
4339,2011-01-25 09:21:35,42,52,27.7376258212167,34.7476195741052,47.6154816024583,-78.2726946506491
4959,2011-01-25 11:01:56,81,98,25.0448733622084,33.600145955235,37.6987222067674,-85.640665455813
4283,2011-01-25 11:13:53,87,22,27.0637854788239,36.3458277391135,42.15267082872,-89.5702330981813
10,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,36.0384838393898,-88.5850845806997
30,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,38.8624729776569,-91.7567760735068
50,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,46.3394713863396,-87.0640176763513
70,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,38.3622683430396,-79.0873454129522
90,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,45.2680736715981,-78.4963431703883
110,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,47.0484545086051,-90.9226941809915
130,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,44.4670383812717,-87.0412886799613
150,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,42.1675429262996,-90.858387663131
170,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,36.342862182163,-87.1730635987674
190,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,35.8140491544466,-85.6834919622306
210,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,48.188611175196,-92.426697309826
230,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,36.4882853043223,-91.1857958825423
250,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,42.2751580679732,-85.7583960011176
270,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,43.9710284240106,-83.2618152583049
290,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,35.2529596635934,-85.8549886025624
310,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,39.1094653249426,-81.432699964457
330,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,45.7658635641229,-78.7113541359411
350,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,39.765586967144,-87.959557483072
370,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,35.8188376716205,-89.3318265137449
390,2011-01-25 11:31:02,28,49,23.2866523838494,31.5069472963177,43.3176030164577,-89.5859952493136
